CITY,NAICSDESCR,X,Y
RENO,CHURCHES,-119.8459658,39.5367397
SALT LAKE CITY,CHURCHES,-111.8530878,40.7524897
PAYETTE,CHURCHES,-116.932343,44.0755866
BUHL,CHURCHES,-114.7625427,42.6027853
CASTLEFORD,CHURCHES,-114.8710088,42.5203481
CAMBRIDGE,CHURCHES,-116.678231,44.5731127
MIDVALE,CHURCHES,-116.7302852,44.4708763
CARSON CITY,PLACES OF WORSHIP,-119.848194,39.2437345
RENO,PLACES OF WORSHIP,-119.813716,39.5184663
RENO,CHURCHES,-119.8348285,39.5157827
RENO,CHURCHES,-119.8173998,39.538414
RENO,CHURCHES,-119.8159116,39.513529
RENO,PLACES OF WORSHIP,-119.8122332,39.5164812
TWIN FALLS,CHURCHES,-114.4855717,42.5649056
SPARKS,CHURCHES,-119.7574785,39.5441598
RENO,CHURCHES,-119.8577043,39.606431
NEW PLYMOUTH,CHURCHES,-116.8179905,43.9704687
WEISER,CHURCHES,-116.9706153,44.2482029
LAS VEGAS,PLACES OF WORSHIP,-115.1391931,36.14464
RENO,CHURCHES,-119.7627866,39.4229101
SPARKS,CHURCHES,-119.7596563,39.5387035
FILER,CHURCHES,-114.6062889,42.5644034
SANDY,CHURCHES,-111.8073464,40.6048281
OGDEN,CHURCHES,-111.9499761,41.1631638
MODESTO,CHURCHES,-120.9582889,37.6704344
SALT LAKE CITY,PLACES OF WORSHIP,-111.9001449,40.7529632
MODESTO,CHURCHES,-120.9582904,37.6704207
BOISE,CHURCHES,-116.1640648,43.5718831
SALT LAKE CITY,PLACES OF WORSHIP,-111.8840672,40.7610818
SALT LAKE CITY,PLACES OF WORSHIP,-111.8710549,40.7798733
SALT LAKE CITY,CHURCHES,-111.8565237,40.6750087
SALT LAKE CITY,CHURCHES,-111.8535185,40.6613534
WEST JORDAN,CHURCHES,-111.9380514,40.6166749
LAYTON,CHURCHES,-111.9503909,41.0571479
FRESNO,PLACES OF WORSHIP,-119.7360309,36.8455741
SALT LAKE CITY,CHURCHES,-111.878779,40.7135012
LAS VEGAS,CHURCHES,-115.0728521,36.1080855
LAS VEGAS,CHURCHES,-115.0550017,36.1588972
LAS VEGAS,CHURCHES,-115.2161905,36.1824339
LAS VEGAS,CHURCHES,-115.1594605,36.194382
LAS VEGAS,CHURCHES,-115.2243333,36.0785544
LAS VEGAS,"SHRINES, RELIGIOUS",-115.1697835,36.0967347
NORTH LAS VEGAS,CHURCHES,-115.1246536,36.1923295
BOISE,CHURCHES,-116.1641136,43.5718875
POCATELLO,CHURCHES,-112.4448134,42.871219
MODESTO,CHURCHES,-121.0031815,37.6387507
CARSON CITY,CHURCHES,-119.7437301,39.1866337
SPARKS,CHURCHES,-119.7133535,39.5944286
FLAGSTAFF,CHURCHES,-111.6533472,35.1955303
SACRAMENTO,CHURCHES,-121.3796113,38.4956721
ELK GROVE,CHURCHES,-121.3709564,38.3957858
FRESNO,CHURCHES,-119.8079517,36.7291304
FRESNO,CHURCHES,-119.7593739,36.8164984
FRESNO,CHURCHES,-119.8006518,36.7614973
MERCED,CHURCHES,-120.4871875,37.2973371
VISALIA,CHURCHES,-119.2906499,36.3355842
SALT LAKE CITY,CHURCHES,-111.9950749,40.6530668
SALT LAKE CITY,CHURCHES,-111.9122201,40.6849491
OAKHURST,CHURCHES,-119.6394357,37.3322227
NORTH LAS VEGAS,CHURCHES,-115.1770228,36.2649123
SALT LAKE CITY,CHURCHES,-111.8417078,40.7379842
HENDERSON,CHURCHES,-115.0890394,35.999036
SALT LAKE CITY,CHURCHES,-111.874458,40.7172297
SALT LAKE CITY,CHURCHES,-111.868505,40.6875861
SALT LAKE CITY,CHURCHES,-111.8385797,40.6408805
