NAME,CITY,STATE,COUNTY,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,PROT,CATH
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TWIN PEAKS WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100839,-111.8589795,40.6559411,CHRISTIAN,LDS,Y,N
FIRST CHRISTIAN REFORMED CHURCH OF SALT LAKE CITY,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096182,-111.8678193,40.7501282,CHRISTIAN,CRC,Y,N
HERITAGE BAPTIST CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094106,-111.9341453,40.7792265,CHRISTIAN,BAPT,Y,N
ISLAMIC SOCIETY OF SALT LAKE CITY MASJID AL-NOOR,SALT LAKE CITY,UT,SALT LAKE,"MOSQUES, RELIGIOUS",32095983,-111.8713984,40.7530989,MUSLIM,NOT AVAILABLE,N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 32ND (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124038550,-111.8393169,40.7597203,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 34TH (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124038550,-111.8393136,40.7597191,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FIRST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32108933,-111.8688625,40.7536259,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 37TH (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124038285,-111.8360266,40.7614914,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 15TH (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,124038285,-111.836026,40.7614905,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BUTLER 8TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,734819069,-111.8156073,40.6243651,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OLYMPUS 7TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,717721194,-111.8157699,40.6758113,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 17TH (YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100779,-111.8321679,40.656692,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WESTMINSTER (STUDENT SINGLE) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097473,-111.8571475,40.7276708,CHRISTIAN,LDS,Y,N
ANCHOR BAPTIST CHURCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32131443,-111.8382346,40.6489528,CHRISTIAN,BAPT,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LITTLE COTTONWOOD 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101464,-111.8486037,40.6356778,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 16TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100816,-111.841745,40.6555561,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SUGAR HOUSE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096992,-111.858993,40.7340119,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EMERSON WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096992,-111.8589962,40.7340143,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EDGEHILL WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097136,-111.8485932,40.732178,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - YALECREST 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096381,-111.8387954,40.746419,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRIGHTON 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32102439,-111.8238189,40.6135572,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MILLCREEK 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100257,-111.8752154,40.6723067,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROOSEVELT (YOUNG SINGLE ADULT) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097473,-111.8571475,40.7276698,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OLYMPUS 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32099673,-111.8207166,40.6826552,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GARDEN HEIGHTS NORTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098288,-111.8270211,40.7069205,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BUTLER 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,734819069,-111.8156111,40.6243638,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - KENWOOD 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098485,-111.8408878,40.7035072,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BRIGHTON 6TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32102633,-111.8097641,40.6098737,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 5TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32122335,-111.8519443,40.6850874,CHRISTIAN,LDS,Y,N
