Importer,Exporter,total
CN,CZ,5
CN,CZ,1
CN,CZ,2
KR,CZ,4
MY,CZ,2
MY,DE,2
JE,BR,3
JE,BR,2
CA,GB,1
CA,US,1
CZ,CH,1
FR,JE,4
SG,DE,4
TW,FR,1
AU,NZ,1
CH,NL,1
CN,CZ,10
GB,CH,1
HK,SG,2
IL,AT,1
IL,GB,3
IL,NL,1
MD,AT,3
NZ,AU,1
NZ,SK,1
RS,HU,3
RU,GB,0.001
RU,LT,1
TR,DE,10
BE,CA,1
RU,AT,1
US,DE,6
CN,CZ,2
KP,CN,1
MY,CZ,2
US,CA,1
US,FR,4
UZ,RU,1
DE,TZ,182
DE,VN,91
CZ,TH,3
DE,VN,53
DE,VN,54
AR,ZA,1
KZ,UZ,2
DE,CH,1
US,XX,6
KP,CN,1
JP,CL,8
US,MX,1
IT,US,1
MX,US,1
MX,US,1
US,MG,24
FR,US,1
DE,MG,117.8
DE,MG,40.6
US,MG,4
DE,MG,3
DE,MG,11.6
DE,MG,27.5
US,MG,20
DE,MG,84.6
DE,MG,72.2
DE,MG,34
US,DE,50
US,DE,4
US,DE,10
DE,MG,285.2
DE,MG,40.8
DE,MG,80
US,MG,286.77
US,MG,84
DE,MG,18.4
US,PT,96
US,PT,1
DE,MG,6
DE,MG,100
AU,US,5
US,AU,2
CH,FR,1
DE,MG,100
ES,GG,1
ES,JE,1
ES,JE,1
FR,MC,3
GR,LB,1
JP,DE,2
JP,ZZ,5
KR,JP,17
MC,CH,1
TW,FR,2
US,BM,2
US,BM,2
US,BR,71
US,BS,200
US,CA,47
US,KY,350
US,NI,1
US,PA,1
BB,FR,120
CA,FR,1
DE,MG,100
DE,UY,100
FR,CA,1
FR,US,1
FR,US,1
GB,SG,5
GB,SG,1
HK,FR,1.5
KR,CN,4
KR,SG,5
PT,ST,867
RE,MG,2
SG,FR,0.5
US,BM,1388
US,BS,993
US,CA,1
US,CA,4
US,CR,634
US,CR,63
US,FJ,1
US,FJ,115
US,HT,3
US,HT,1
US,HT,1
US,KY,2.45
US,KY,1400
US,KY,272
US,KY,250
US,MX,17
US,MX,2
US,MX,1
US,NI,5
US,PA,86
AT,KR,4
AU,GB,2
CH,AE,1
CH,DE,1
CH,FR,1
CH,GB,2
CN,FR,2
CN,FR,1
CN,GB,7
CN,US,1
DE,CH,1
DE,CH,1
FR,CH,24
FR,CH,2
FR,CH,1
FR,FR,0.01
FR,FR,2
FR,MC,1
FR,MC,1
GB,CH,11
GB,HK,2
GB,JP,13.5
HK,FR,1
HK,GB,63
IL,NL,1
JE,GB,2
JP,CH,1
JP,GB,2
JP,GB,13
JP,GB,2
JP,GB,3
MC,FR,1
MC,FR,1
NZ,FR,1
NZ,TO,2
PE,BE,1
PF,FR,1
US,AR,3
US,BZ,1.5
US,CN,1
US,CO,1
US,FM,1
US,FM,76
US,FM,13
US,FM,63
US,FR,1
US,FR,1
US,FR,2
US,FR,1
US,FR,2
US,GB,29
US,GB,3
US,GB,34
US,GB,8
US,HT,454
US,HT,2
US,JM,8
US,JP,1
US,KY,5
US,LC,1
US,MH,2
US,MX,3
US,MX,10
US,MX,1
US,MX,1
US,MX,5
US,NI,1
US,NI,454
US,NI,16.24
US,NI,6
US,PA,4
US,PE,54
US,PW,5
US,PW,2
US,PW,30
US,PW,2
US,SV,22
US,SV,122
US,TR,2
US,TR,15
US,VE,7
US,XX,13
XX,DE,1
AU,NZ,1
BB,FR,200
CA,FR,1
CH,FR,5
CH,FR,1
CH,FR,1
CH,HK,1
CH,US,1
CN,GB,1
CU,ES,1
CU,ES,1
FR,CA,1
FR,CH,1
FR,CN,1
FR,HK,1
FR,JP,7.66
FR,JP,164.33
FR,TO,1
FR,US,5
FR,US,5
GB,CH,14
