Importer,Exporter,total
MD,BE,1
MY,ZA,2
PH,ID,1
PH,SK,1
TH,AR,2
TH,ES,2
TN,ES,1
TR,NL,1
TW,FR,1
UA,SK,1
US,AR,3
US,CA,1
US,CA,2
US,CA,1
US,CA,1
US,CA,1
US,CN,500
US,CN,7
US,GB,53
US,KH,2
US,KH,180
US,KR,1
US,MX,5
US,PE,2
US,VN,5
US,VN,99
US,VN,3
US,VN,127
US,VN,46
US,XX,1
US,XX,371
UY,ZA,1
UZ,KZ,2
VN,BE,1
VN,BE,4
VN,CZ,1
VN,CZ,2
VN,CZ,1
XX,IT,4
XX,IT,2
CH,CZ,1
CN,CA,1
CN,NL,1
CN,NL,1
GB,NO,1
GB,US,58
IT,CA,1
KG,KZ,2
KP,CN,1
KR,CN,1
NL,NO,2
PK,CA,1
RU,BY,1
US,GB,320
GB,US,1
GB,US,1
CA,US,1
CH,FR,1
CL,FR,1
FR,CH,1
HU,CH,1
IN,FR,2
IN,GB,1
US,CH,1
US,DE,2
US,FI,1
US,FR,2
US,SE,2
CA,NL,20
KW,BE,30
QA,NL,44
UZ,NL,26
US,IN,16
SG,KH,23
SG,KH,3
SG,XX,23
SG,XX,3
US,CA,3
CD,BE,2
KP,CN,2
QA,NL,2
QA,NL,8
QA,NL,1
RU,CZ,4
UA,CZ,2
ZA,NL,1
ZA,NL,2
ZA,NL,1
KP,CN,1
DE,RU,1
SG,NL,2
SG,NL,2
BD,NL,2
KP,CN,2
QA,AE,1
QA,AE,1
RU,CZ,2
ZA,NL,1
ZA,NL,2
ZA,NL,1
CA,US,2
GB,US,9
US,RW,79
DE,CG,56
DE,CM,60
DE,GA,24
DK,CH,10
GB,CH,1.5
TW,PL,1
US,CG,1
US,CG,2
XX,DE,1
BE,US,1
CN,CZ,2
CN,KW,2
DE,CD,62
DE,CG,36
DE,CI,380
DE,CI,25
DE,CI,153
DE,CI,230
DE,CI,4
DE,CI,241
DE,CI,389
DE,CM,61
DE,GA,232
DE,GA,44
DE,GA,3
DE,GA,59
DE,ML,51
DE,RW,155
DE,TZ,113
DK,CH,6
DK,SN,93
GB,US,7
GT,SE,5
GT,SE,1
IN,IL,1
KE,IQ,1
KE,IQ,1
KZ,RU,1
KZ,RU,1
LT,UA,1
NL,CI,1
RU,AM,2
RU,AM,2
TJ,UZ,1
TT,ZA,6
UA,LT,1
UG,CF,15
UG,CF,36
UG,CF,12
US,CA,2
US,CD,300
US,CG,2
US,CM,1
US,RW,32.3
US,UG,1
US,UG,0.5
US,UG,1
UZ,KG,1
DK,CH,13
GB,JE,3
GB,JE,1
HK,DK,0.2
HK,DK,0.05
ID,JE,1
US,AU,1
US,DE,4
CH,ID,365
CN,GB,1
CN,UZ,2
IL,DE,1
IL,NL,1
IL,NL,1
KP,CN,1
MY,SG,2
RU,DK,1
US,ID,2
US,ID,434.6
US,ID,1178
KP,CN,1
IM,GB,2
TH,ID,1
FR,CH,1
DE,VN,10
DE,VN,30
AU,US,1
DE,VN,20
KP,CN,1
TR,DE,2
US,AU,1
DE,VN,11
DE,VN,10
MK,BE,1
MK,BE,1
SG,FR,2
US,FJ,37
CA,DE,4
CH,DE,2
PH,DE,2
PH,DE,2
US,FJ,15
US,FJ,41
US,JM,129.57
CH,AT,6
UA,DE,1
US,DO,16
US,HK,15
US,BS,1040
US,BS,400
US,KY,1082
KP,CU,4
US,KY,50
US,KY,1138
US,DO,4
JP,AT,4
US,BS,99
US,BS,114
DE,MG,100
US,MG,186
JP,ID,1
JP,ID,2
AE,DK,2
AE,US,10
AT,US,2
AU,DK,86
AU,FR,1
AU,US,2
AU,US,1
BE,US,1
BR,DK,1
BS,DK,12
CA,DK,15
CA,ES,1
CA,FI,0.16
CA,GB,1
CA,US,8
CA,US,2
CH,AE,1
CH,DE,0.3
CH,DE,1
CH,DE,2
CH,DK,1
CH,FR,7
CH,GB,1
CH,GB,5
CH,SE,1
CH,SG,1
CH,US,4
CL,DE,1
CN,DE,0.0011
CN,DE,4
CN,DE,0.3
CN,DE,3
CN,DK,4
CN,ES,2
CN,FR,1
CN,GB,1
CN,GB,10
CN,GB,1
CN,US,3
CN,US,23
CN,US,2
CZ,US,3
DE,IE,1
DE,IL,1
DE,US,11
DE,US,10
DE,US,16
DE,US,2
FI,US,8
FR,CH,2
FR,US,1
FR,US,1
FR,US,2
GB,CH,5
GB,GG,1
GB,GI,1
GB,JP,0.5
GB,US,58
GB,US,64
GB,US,2
GB,US,4
GB,US,1
GB,US,8
GB,US,4
GB,US,3
GR,US,1
HK,CH,2
HK,DE,1
HK,DK,12
HK,GB,12
HK,US,12
HK,US,29
HK,US,8
ID,DK,5
ID,US,13
IN,GB,1
IT,US,4
IT,US,3
JE,GB,4
JP,DE,4
JP,DE,4
JP,DE,1
JP,DE,1
JP,DK,180
JP,DK,4
JP,DK,45
JP,DK,8
JP,FR,3.5
JP,FR,4
JP,GB,1
JP,GB,2
JP,GB,1
JP,IL,2
JP,IT,5
JP,IT,2
JP,IT,7
JP,US,60
JP,US,10
JP,US,1
JP,US,40.5
JP,US,176
JP,US,3
KP,DK,22
KR,DE,2
KR,DE,1
KR,DK,11
KR,US,7
KR,US,20
KR,US,1
LU,BR,1.2
MY,IT,1
NL,US,1
NL,US,21
NL,US,2
NO,DK,4
NO,DK,4
NO,NL,1
NZ,DK,11
NZ,US,3
PT,DK,1
PY,GB,1
RU,FR,10
SE,DK,1
SE,US,1
SE,US,1
SG,CH,1
SG,DK,4
SG,GB,2
SG,SE,1
SG,US,4
SN,US,1
TH,DE,2
TH,DK,1
TH,US,1
TH,US,1
TR,GB,1
TR,US,1
TW,DE,1
TW,DK,141
TW,GB,1
TW,US,1
TW,US,6
TW,US,7
US,AR,1
US,AT,1
US,AT,1
US,BR,9000
US,BR,15
US,BR,42000
US,CA,1
US,CA,7
US,CH,2
US,CN,22
US,CZ,3
US,DE,0.0012
US,DE,0.15
US,DE,7
US,DE,0.3
US,DE,11
US,DK,2
US,DK,139
US,DK,10
US,DK,1
US,DK,8
US,DK,1
US,DK,4
US,FI,1.6
US,FR,1
US,FR,1
US,FR,1
US,FR,14
US,FR,2
US,FR,3
US,GB,4
US,GB,2
US,GB,2
US,GB,6
US,GB,23
US,GB,1
US,GB,4
US,GB,34
US,IL,86
US,IL,10
US,IT,1
US,IT,125
US,IT,425
US,IT,200
US,JP,7
US,JP,6
US,JP,57
US,JP,5
US,KR,7
US,LU,12
US,PT,1
US,SE,25
US,SE,1
US,SE,1
US,SE,1
US,ZA,1
XX,DE,1
XX,DE,3
XX,US,2
NL,RU,2
US,DE,1
US,DE,1
GI,ES,4
ID,HU,3
FR,US,4
FR,US,1
MA,FR,4
RS,HU,1
DE,MG,100
JE,GB,2
US,MG,1
US,MG,5
AU,US,10
BY,IL,6
CA,US,7
CN,CA,7
CN,CZ,4
CN,CZ,9
CN,CZ,1
CN,CZ,2
CN,CZ,4
CN,CZ,3
CN,CZ,1
CN,CZ,2
CN,CZ,3
CN,CZ,1
CN,CZ,11
CN,CZ,9
CN,CZ,2
FR,FR,4520
FR,FR,3
ID,FR,6
MA,FR,16
MU,FR,4
RU,AM,2
TR,NL,1
UA,CZ,5
VN,CZ,4
VN,CZ,3
VN,CZ,2
VN,CZ,2
VN,CZ,1
MG,FR,1
MG,FR,3
SG,JP,2
CA,GB,1
CA,PL,1
CH,NL,2
CL,GB,4
CN,CA,13
IL,CZ,1
MA,FR,4
US,PT,1
GB,MG,30
US,PT,96
BE,MG,40
GB,MG,50
CH,DK,339
NO,DK,44
US,AU,34
US,BE,2784
GB,MG,1
CA,US,75
ES,ZA,4
JP,ES,2
JP,ZA,5
JP,ZA,5
NC,DE,1
JP,TH,12
US,TH,4
US,KH,1
DE,CH,1
GB,CN,5
KP,CN,2
PL,CH,1
JP,GB,1
US,CN,1
DE,US,2
BE,NO,2
CH,DE,1
DE,CH,2
IT,CH,1
JP,KW,1
KW,JP,2
KW,JP,2
US,GB,1
US,IT,22
US,SE,362
CA,US,3
GB,US,4
GB,US,8
US,CA,2
US,CA,9
GB,LK,45
US,LK,147
JP,TH,2
US,LK,61
GB,LK,23
JP,LK,55
US,LK,39
DE,EC,5
GB,MG,3
GB,MG,1
US,DE,5
US,EC,22
AF,TH,20
BE,TH,12
DE,TH,20
FR,TH,20
IN,TH,3
JP,TH,1
US,TW,25
DE,BR,25
US,BR,25
US,DE,12
DE,BR,6
DE,BR,5
US,BR,4
US,DE,30
JP,MY,5
US,CN,2.8
CA,US,792
DE,TW,20
TH,US,50
AE,NL,28
AF,TH,10
BY,NL,22
CA,CN,30
CA,US,3
CH,CN,15
CH,CN,10
CH,DE,12
CH,NL,513
DE,CN,50
DE,CN,15
DE,TH,150
DE,TW,10
DE,TW,73
DE,US,3
FR,TH,4
HK,NL,24
HK,NL,24
HK,TH,4
JP,CN,109
JP,CN,40
JP,DE,100
JP,DE,12
JP,ID,5
JP,TH,151
JP,TW,6554
JP,TW,4134
JP,TW,190
JP,US,1642
JP,US,9
KZ,NL,33
MD,NL,40
NO,NL,292
RE,NL,30
TW,JP,35
TW,JP,160
TW,JP,50
UA,NL,121
US,CA,2
US,CN,130
US,DE,99
US,JP,145
US,JP,100
US,NL,5720
US,NL,8738
US,TH,10
US,TW,200
XX,NL,44
ZW,NL,22
CA,US,3
JP,DE,12
JP,US,6
US,DE,4
DE,US,2
JP,DE,14
JP,TW,20
US,DE,22
US,TH,10
CA,US,14
CH,CN,10
CH,DE,10
DE,TW,10
DE,US,16
JP,CN,10
JP,US,3
US,DE,30
US,TH,18
CA,CN,30
CA,US,3
CH,DE,3
DE,CN,30
DE,US,4
JP,CN,40
JP,TW,20
US,CN,80
US,DE,10
AU,MY,14
DE,MY,341
DE,MY,20
JP,DE,6
JP,MY,267
JP,MY,10
JP,US,6
SG,MY,4
US,MY,1418
US,MY,80
CH,CN,10
DE,TW,10
DE,US,4
JP,US,6
US,CN,46
US,DE,26
AF,TH,50
AU,MY,17
CA,US,5
CH,CN,10
CH,DE,4
CH,DE,2
DE,MY,261
DE,MY,30
DE,TH,2
DE,TH,383
DE,TW,40
FR,TH,8
FR,TH,18
HK,TH,1
HK,TH,5
JP,CN,10
JP,DE,17
JP,MY,270
JP,MY,10
SG,MY,5
US,DE,24
US,MY,1033
US,MY,70
US,TH,5
US,DE,40
AE,NL,6
CA,CN,20
CA,US,3
CH,CN,10
CH,DE,10
CH,NL,12
CW,NL,6
DE,TH,60
DE,US,6
GF,NL,32
HK,NL,17
JP,US,16
KE,NL,30
KW,NL,31
LB,NL,64
ME,NL,6
NO,NL,369
SX,NL,6
US,DE,30
US,EC,1
US,TH,32
XX,NL,295
ZA,NL,18
CA,US,1
CH,DE,2
DE,TH,50
DE,TW,10
DE,US,16
FR,TH,15
JP,DE,12
JP,US,12
US,TH,5
JP,DE,12
US,DE,4
AF,TH,90
CA,CN,20
CH,DE,6
DE,CN,30
DE,MY,40
DE,TH,120
DE,TW,10
DE,US,6
FR,TH,6
FR,TH,10
HK,TH,4
HK,TH,13
JP,CN,32
JP,DE,12
JP,US,4
US,MY,30
US,TH,45
AU,MY,15
AU,MY,3
CH,DE,3
DE,MY,130
DE,MY,60
DE,US,4
JP,MY,175
JP,MY,20
SG,MY,5
US,DE,16
US,MY,1201
US,MY,120
US,TH,10
AF,TH,20
CA,US,30
CH,DE,1
CH,DE,6
DE,TW,10
DE,US,30
FR,TH,10
JP,DE,20
JP,TW,20
JP,US,20
US,DE,80
CA,CN,20
CA,US,2
CH,DE,2
DE,US,8
US,CN,20
US,DE,20
CA,US,1
CH,DE,3
CH,DE,5
DE,US,6
US,DE,20
CA,CN,10
CH,CN,10
CH,DE,3
DE,CN,15
DE,TW,10
JP,CN,30
JP,DE,12
JP,US,4
US,CN,10
US,DE,24
AF,TH,30
BE,TH,12
DE,TH,31
FR,TH,10
FR,TH,17
US,TH,1
CH,DE,6
DE,TW,10
DE,US,14
JP,US,10
RU,US,1
US,DE,12
BE,TH,12
DE,US,2
JP,US,10
US,DE,6
CA,US,3
CH,DE,2
DE,US,28
JP,ID,5
JP,US,16
US,DE,28
CA,US,1
DE,TW,30
DE,US,4
FR,TH,5
US,DE,6
AF,TH,60
BE,TH,15
CA,US,1
DE,TH,20
DE,TH,636
DE,TW,50
DE,US,20
FR,TH,13
FR,TH,31
HK,TH,401
HK,TH,89
JP,DE,15
US,DE,26
US,TH,60
CA,CN,20
CA,US,2
DE,CN,10
DE,US,8
JP,US,6
US,CN,20
US,DE,10
CA,CN,15
CH,DE,3
DE,TW,10
JP,DE,12
JP,TW,130
US,CA,2
US,CN,27
US,DE,36
CH,DE,2
DE,US,16
JP,DE,12
JP,US,20
US,DE,14
DE,TH,50
AF,TH,40
CA,CN,20
CA,US,16
CH,CN,10
DE,TH,50
DE,TW,10
DE,TW,20
DE,US,14
JP,US,10
US,CN,52
US,DE,20
AF,TH,30
DE,TH,75
DE,TW,10
DE,US,16
FR,TH,20
FR,TH,15
JP,TW,10
JP,US,10
US,CN,15
US,DE,20
US,TH,40
AU,MY,18
CA,US,2
DE,MY,142
DE,MY,40
DE,TW,10
DE,US,44
JP,DE,20
JP,MY,68
JP,MY,36
JP,US,20
SG,MY,13
US,DE,12
US,MY,912
US,MY,64
US,TH,10
AE,NL,28
AF,TH,55
AM,NL,6
AW,NL,12
AZ,NL,42
BE,TW,541
BY,NL,799
CA,CN,90
CA,US,970
CH,BE,18
CH,CN,15
CH,CN,10
CH,DE,17
CH,NL,29198
CI,NL,24
CN,DK,10
CN,DK,10
CW,NL,30
CZ,TW,350
DE,CH,12
DE,CN,115
DE,TH,57
DE,TW,3712
DE,US,1468
FO,NL,6
FR,TW,1375
GB,TW,400
GB,TW,70
GE,NL,18
GP,NL,120
HK,NL,59
HK,NL,59
HK,US,250
HU,TW,65
IL,NL,568
JP,CN,190
JP,DE,255
JP,US,1703
KW,NL,18
KW,NL,24
KZ,NL,218
LB,NL,180
MD,NL,278
MK,NL,18
MQ,NL,222
MV,NL,6
NO,NL,4216
OM,NL,6
RE,NL,2607
RS,NL,54
SG,NL,24
TR,NL,18
TW,US,213
UA,NL,949
US,CA,66
US,CN,283
US,DE,1789
US,DE,5
US,DO,180
US,EC,11
US,JP,116
US,TH,100
US,TH,267
US,TW,4140
XX,NL,761
ZA,NL,110
ZA,US,10
ZW,NL,75
AF,TH,10
CH,DE,2
DE,US,2
JP,US,4
US,DE,6
JP,DE,10
US,DE,4
DE,TW,10
DE,US,20
JP,DE,12
JP,TW,10
JP,US,12
US,DE,16
DE,US,18
JP,US,4
US,DE,12
CA,US,4
DE,TW,10
DE,US,4
JP,US,6
US,DE,10
CA,US,2
CH,DE,3
DE,US,42
JP,TW,10
JP,US,30
US,DE,20
CA,CN,10
CA,US,2
CH,DE,5
DE,CN,10
DE,TW,10
DE,US,10
JP,CN,40
JP,DE,14
JP,TW,10
JP,US,10
US,DE,40
CH,DE,1
DE,TW,10
DE,US,4
US,DE,30
US,TH,10
CA,US,3
CH,CN,10
CH,DE,4
DE,CN,10
JP,CN,16
JP,DE,20
JP,TW,116
JP,US,6
US,DE,36
AF,TH,10
AU,MY,28
AU,MY,5
BE,TH,15
DE,MY,100
DE,MY,60
DE,TH,10
DE,TH,153
DE,TW,40
DE,US,8
FR,TH,5
FR,TH,3
HK,TH,3
JP,DE,6
JP,MY,88
JP,MY,40
JP,US,10
SG,MY,10
US,DE,20
US,MY,1041
US,MY,101
US,TH,47
JP,MY,5
US,MY,6
JP,DE,20
US,DE,40
AF,TH,15
CH,DE,2
DE,TH,130
DE,US,24
FR,TH,3
JP,DE,8
JP,US,20
US,DE,22
US,TH,12
CA,US,1
CH,DE,4
CH,DE,2
DE,TW,10
DE,US,58
JP,DE,15
JP,US,26
US,DE,40
AF,TH,10
CA,US,8
DE,TW,10
FR,TH,10
FR,TW,125
JP,DE,11
JP,US,4
US,DE,18
CH,DE,6
DE,TW,10
DE,US,4
JP,DE,12
JP,US,6
US,DE,20
CH,DE,3
DE,US,6
JP,US,4
US,DE,10
AU,MY,17
AU,MY,3
CA,US,6
CH,DE,3
CH,DE,4
DE,MY,101
DE,MY,20
DE,TW,10
DE,TW,60
DE,US,46
JP,MY,90
JP,MY,10
JP,TW,30
JP,US,20
SG,MY,4
US,DE,20
US,MY,986
US,MY,56
US,DE,5
CA,US,1
CH,DE,3
CH,DE,4
DE,TW,10
DE,TW,22
DE,US,16
JP,DE,10
JP,TW,60
JP,US,10
US,DE,20
CA,US,1
JP,DE,20
US,DE,21
CA,US,10
DE,TH,50
DE,TW,10
DE,US,4
FR,TH,5
FR,TH,10
FR,TW,125
JP,TW,30
US,DE,16
AU,MY,15
AU,MY,3
CH,DE,1
DE,MY,101
DE,MY,40
DE,TW,10
DE,US,28
FR,TH,10
JP,MY,90
JP,MY,36
JP,US,6
SG,MY,4
US,DE,20
US,MY,1554
US,MY,111
CA,US,3
CH,DE,5
JP,US,4
US,DE,6
US,TH,5
DE,US,4
JP,DE,6
JP,US,6
US,DE,15
CH,DE,2
DE,US,12
JP,DE,12
JP,US,6
US,DE,16
US,TH,10
CA,CN,10
CH,CN,10
CH,DE,2
DE,US,6
JP,DE,12
US,CN,50
US,DE,4
CH,DE,5
DE,US,2
US,DE,20
CA,CN,20
CH,CN,10
CH,DE,10
DE,TW,10
DE,TW,8
JP,DE,12
JP,TW,20
US,CN,68
US,DE,60
CH,DE,3
DE,US,8
JP,DE,20
JP,US,4
US,DE,30
AF,TH,20
CA,US,18
CH,DE,3
DE,TH,50
DE,TW,10
DE,TW,24
DE,US,14
FR,TW,125
GB,TW,30
JP,TW,10
JP,US,20
US,CA,1
US,DE,30
CA,US,3
DE,TW,10
CA,US,7
DE,TW,10
DE,US,8
CH,DE,4
DE,TW,10
JP,DE,12
JP,TW,50
US,DE,16
CA,CN,30
CH,CN,20
CH,DE,2
DE,CN,50
DE,US,4
FR,TH,5
JP,US,6
US,CN,74
US,TH,60
JP,DE,12
CA,CN,20
CA,US,2
CH,CN,10
DE,US,4
JP,US,8
US,DE,30
DE,BR,5
DE,EC,5
JP,BR,5
JP,BR,10
US,EC,38
US,PA,10
US,TH,6
AU,SG,5
CA,PE,30
CA,US,3
DE,EC,7
DE,PE,9
DE,PE,835
ES,PE,3
FR,EC,2
GT,PE,11
JP,EC,7
JP,EC,5
JP,PE,125
JP,US,274
JP,US,5
RU,US,1
SG,PE,5
SG,PE,9
TH,SG,2
TW,PE,13
US,DE,10
US,EC,13
US,PE,175
CA,US,18
CH,DE,2
DE,EC,171
DE,US,7
DE,US,20
FR,EC,10
FR,EC,5
JP,EC,10
JP,US,4
US,DE,14
US,EC,65
US,PE,4
CA,PE,40
DE,EC,91
DE,PE,4
DE,PE,44
FR,EC,1
GT,PE,6
JP,EC,30
SG,BR,10
SG,EC,10
SG,PE,10
SG,PE,3
US,DE,11
US,EC,15
US,PE,45.9
SG,EC,20
SG,PE,10
US,PE,4
CA,PE,40
CA,US,24
CH,DE,7
DE,EC,102
DE,PE,4
DE,PE,66
DE,US,10
ES,PE,3
FR,EC,6
FR,EC,2
GT,PE,7
JP,EC,5
JP,PE,24
SG,EC,50
SG,PE,10
SG,PE,6
TW,PE,7
US,DE,10
US,EC,33
US,PE,55.25
DE,EC,52
FR,EC,2
FR,EC,1
JP,EC,15
US,DE,11
US,EC,12
CA,PE,100
CA,US,327
CN,DK,5
CN,DK,5
CN,EC,50
DE,EC,8
DE,PE,260
DE,PE,260
DE,US,1238
FR,EC,4
GT,PE,74
HK,US,100
JP,PE,79
JP,US,183
RU,US,3
SG,PE,21
TW,PE,43
TW,US,310
US,CA,1
US,CA,1
US,DE,135
US,EC,121
US,PE,184
US,PE,184
CA,US,6
DE,US,2
DE,EC,37
DE,US,8
FR,EC,1
JP,EC,15
JP,US,10
US,EC,19
DE,US,1
US,DE,20
US,EC,2
CA,US,2
CH,DE,3
DE,EC,26
DE,US,20
FR,EC,1
JP,US,16
US,DE,30
US,EC,17
CA,PE,30
CA,US,12
CH,DE,2
DE,EC,51
DE,PE,4
DE,PE,46
DE,US,2
FR,EC,2
GT,PE,9
JP,PE,10
SG,PE,7
TW,PE,8
US,DE,6
US,EC,19
US,PE,56
CA,PE,30
CH,DE,2
DE,PE,4
DE,PE,86
DE,US,2
GT,PE,9
JP,PE,16
SG,PE,8
TW,PE,9
US,DE,15
US,PE,52
DE,US,1
CA,US,19
CH,DE,5
DE,EC,47
DE,US,22
FR,EC,13
FR,EC,5
JP,US,5
US,DE,38
US,EC,34
DE,BR,30
DE,US,2
JP,BR,20
US,BR,10
US,DE,2
DE,PE,3
DE,PE,3
JP,PE,14
SG,PE,30
US,PE,26
DE,US,4
AE,SG,9
BE,ID,34
BE,SG,2
BR,MY,210
CA,MY,22
CA,SG,69
CA,SG,449
CN,ID,213232
CN,MY,200
CN,MY,150738
CN,SG,335
CN,SG,4
CN,SG,13201
CZ,SG,4
CZ,SG,6
DE,ID,5
DE,ID,5
DE,SG,35
DK,SG,8
DK,SG,1
DK,SG,15
FR,SG,9
FR,SG,3
GB,ID,121
GB,MY,240
GB,SG,175
HK,ID,2969
HK,MY,7418
HK,SG,1
HK,SG,262
HK,SG,598
ID,SG,1
IN,SG,25
IN,SG,3
IN,SG,459
IR,MY,51
IT,SG,82
IT,SG,94
JP,ID,5
JP,ID,5900
JP,MY,7156
JP,SG,24
JP,SG,12
JP,SG,3071
JP,TH,30
KH,ID,37
KP,MY,441
KR,ID,553
KR,SG,1
KR,SG,2
KR,SG,362
KW,SG,4
LK,MY,25
LK,SG,120
LK,SG,11
LK,SG,308
MO,SG,2
MO,SG,4
MY,ID,526
MY,SG,60
MY,SG,62
MY,SG,343
MY,SG,5176
NL,ID,4
NL,MY,20
NL,SG,5
NL,SG,12
NO,SG,23
NO,SG,24
NZ,MY,42
NZ,SG,96
PF,SG,9
PF,SG,3
PH,HK,1
PH,ID,879
PH,MY,900
PH,SG,149
PH,SG,22
PH,SG,1040
RU,SG,13
RU,SG,4
RU,SG,4
SE,ID,26
SG,ID,5702
SG,MY,254
SK,MY,30
TH,ID,1749
TH,MY,4083
TH,SG,7
TH,SG,657
TR,SG,9
TR,SG,5
TW,ID,11547
TW,MY,4447
TW,MY,17
TW,SG,108
TW,SG,33
TW,SG,693
UA,SG,12
US,VN,6
VN,ID,6
VN,ID,1451
VN,MY,1491
VN,SG,4
VN,SG,503
XX,SG,31
XX,SG,22
ZA,SG,6
ZA,SG,1
AE,MA,1
BH,AE,136
JO,AE,2
JO,AE,330
KW,AE,825
KZ,AE,637
KZ,AR,637
PK,AE,220
QA,AE,1383
SA,AE,1512
AE,MA,1399
DZ,MA,4233
KZ,AR,150
SA,KW,170
SA,MA,1049
AR,PT,2
MX,US,70
AR,PT,2
NP,NL,7
PK,NL,2
AR,PT,2
NP,NL,6
PK,NL,15
US,CA,2
AR,PT,6
VN,NL,2
VN,NL,8
GB,JE,2
GB,JE,2
BD,NL,4
ID,NL,4
MY,NL,10
UZ,NL,8
NO,GB,1
AR,PT,6
MY,NL,8
NP,NL,17
VN,NL,6
AR,PT,6
ID,NL,10
KR,CN,7
AT,CH,3
AU,DK,0.154
AU,NZ,1
AU,US,1
CH,GB,1
DE,US,7
DE,US,7
DK,GL,10
DK,GL,3
FR,FR,10
FR,FR,2
GB,FJ,6
GB,NZ,1
GL,DK,2
GL,DK,4
JP,ZZ,25
NO,DK,0.62
NZ,FJ,21
PF,FR,1
SG,GB,3
SN,US,1
SN,US,1
SN,US,1
US,FJ,2
US,FR,2
US,FR,27
US,GB,1
US,GB,1
US,GB,1
US,GB,4
US,GB,1
US,MX,1
US,NZ,1
US,PE,3
US,ZZ,1
US,PE,4
AU,GB,3
US,NI,1
SN,US,1
US,MG,5
US,MG,5
US,MG,2
US,MG,6
AE,AT,2
AE,AT,19
AE,AT,3
AE,BE,7
AE,CH,8
AE,NL,1
AE,NL,1
BH,BE,2
BH,BE,2
BH,BE,3
BH,BE,22
BH,KW,1
BH,KW,2
BS,US,2
BS,US,1
BS,US,1
CA,US,2
CA,US,1
CA,US,1
CA,US,2
CA,US,1
EG,KW,2
ID,BE,1
ID,NL,1
ID,NL,1
ID,NL,5
JO,BE,9
JO,BE,4
JO,BE,3
JO,BE,1
KW,BE,3
KW,BH,1
KW,BH,1
KW,ES,9
KW,GB,8
KW,HU,5
KW,HU,5
KW,HU,2
KW,PT,2
KW,PT,3
KW,SK,9
KW,SK,15
KW,SK,3
KW,US,4
NL,SG,10
OM,ZA,14
OM,ZA,1
PH,NL,2
PK,NL,1
QA,KW,3
QA,NL,1
QA,NL,6
QA,NL,2
QA,NL,4
QA,ZA,4
SA,AE,2
SA,KW,4
TH,NL,5
TH,NL,2
US,BS,1
US,CA,2
US,CA,1
US,CA,2
US,NI,1
US,PE,90
VN,DE,1
KG,BE,2
NL,SG,1
US,MX,1
ZA,US,1
PH,FR,1
AE,BE,2
CA,US,1
MX,US,1
PA,NL,1
QA,ZA,101
US,CA,1
US,CA,1
US,MX,2
AE,BH,6
XX,DE,1
AE,BE,4
BD,NL,2
BD,NL,2
CW,NL,2
DE,IL,26
ID,NL,3
ID,NL,1
KW,BE,3
MY,NL,1
PA,NL,1
PA,NL,2
PA,NL,1
PH,CZ,1
PH,CZ,1
PH,CZ,14
PH,CZ,14
TH,BE,1
TH,BE,3
TH,NL,4
AE,AT,17
AE,AT,9
AE,BE,2
AE,CH,4
AE,NL,2
AE,NL,2
AO,PT,1
BH,BE,5
BH,BE,3
BH,BE,7
BH,KW,3
BH,KW,8
BH,KW,2
BH,KW,1
BH,KW,6
BH,KW,3
CA,US,3
CA,US,1
HK,BE,1
HK,BE,1
HK,BE,1
HK,BE,1
HK,NL,2
HK,NL,2
HK,NL,2
ID,NL,1
ID,NL,2
IR,KW,2
JO,BE,4
JO,BE,2
KG,BE,1
KG,BE,7
KG,BE,2
KR,US,1
KW,BE,6
KW,CZ,2
KW,ES,1
KW,ES,13
KW,GB,5
KW,HU,6
KW,HU,3
KW,HU,6
KW,SK,3
KW,SK,1
KW,US,1
NI,US,1
NL,SG,3
NO,SE,2
OM,ZA,2
PA,NL,3
PA,US,1
PK,IE,1
PK,IE,1
PK,NL,1
PT,CH,2
QA,GB,2
QA,NL,8
SE,NO,2
TH,DK,2
TH,NL,1
TH,NL,4
TH,NL,3
TH,NL,7
TH,NO,1
TR,KW,1
TW,NL,1
TW,NL,12
TW,NL,8
TW,NL,4
TW,NL,2
TW,NL,2
US,CA,1
US,CA,1
US,CA,4
US,DE,1
US,DE,1
US,SG,5
VN,DE,7
VN,NL,3
VN,NL,3
VN,NL,1
VN,NL,7
DE,CH,1
PA,NL,1
PH,BR,6
DK,NO,2
PA,NL,1
PH,FR,1
NO,SE,1
PA,NL,1
SE,NO,1
GB,JE,2
AE,AT,2
CA,NL,1
CA,NL,1
NL,SG,1
NO,DK,8
PH,NL,2
PT,CH,2
QA,ZA,2
BS,US,1
NL,SG,2
PA,NL,1
AE,AT,1
AE,NL,2
BD,NL,2
BN,NL,1
CA,US,1
CA,US,1
CR,US,1
DE,PH,1
DE,PH,3
FR,SG,4
JP,US,10
KR,PH,2
KW,ES,2
KW,HU,1
LV,RU,1
NL,SG,8
NP,NL,1
NP,NL,6
NP,NL,1
NP,NL,2
NP,PH,4
QA,NL,1
RU,LV,1
SE,NO,2
SG,FR,4
TH,ES,2
TH,NL,1
TH,NL,4
TH,NL,1
US,CA,1
US,PE,1
US,SG,7
BR,ES,9
DE,IL,182
DE,QA,4
DE,QA,5
DE,QA,14
QA,DE,2
MY,NL,2
NL,SG,2
PK,NL,1
TR,FR,4
US,CA,1
US,CR,2
BD,NL,5
ID,BE,1
ID,NL,1
ID,NL,1
NL,SG,8
PH,CZ,2
PH,CZ,2
SG,BE,2
