source,target,value
New Zealand_Export,Aves,17
Oman_Export,Aves,1
Peru_Export,Aves,1223
Philippines_Export,Aves,154
Poland_Export,Aves,1
Portugal_Export,Aves,72
Qatar_Export,Aves,41
Serbia_Export,Aves,73
Sweden_Export,Aves,1
Singapore_Export,Aves,274
Slovenia_Export,Aves,20
Slovakia_Export,Aves,58
United States of America_Export,Aves,574
Uzbekistan_Export,Aves,435
Germany_Export,Bivalvia,1
Indonesia_Export,Coelacanthi,2
United Kingdom of Great Britain and Northern Ireland_Export,Elasmobranchii,3
United States of America_Export,Elasmobranchii,1
United Arab Emirates_Export,Mammalia,565
Armenia_Export,Mammalia,6
Argentina_Export,Mammalia,117
Austria_Export,Mammalia,136
Belgium_Export,Mammalia,359.678
Bahrain_Export,Mammalia,1
Bahamas_Export,Mammalia,4
Belarus_Export,Mammalia,3
Côte d'Ivoire_Export,Mammalia,1291
Chile_Export,Mammalia,4
China_Export,Mammalia,103
Cuba_Export,Mammalia,2929.345
Cabo Verde_Export,Mammalia,11
Czechia_Export,Mammalia,80
Germany_Export,Mammalia,372.264
Denmark_Export,Mammalia,118.54
Estonia_Export,Mammalia,1
Spain_Export,Mammalia,266
Finland_Export,Mammalia,6
Falkland Islands (Malvinas)_Export,Mammalia,1
France_Export,Mammalia,1486.364
United Kingdom of Great Britain and Northern Ireland_Export,Mammalia,5094.101
Georgia_Export,Mammalia,7
Guernsey_Export,Mammalia,38
Greenland_Export,Mammalia,1323
Greece_Export,Mammalia,2
Hong Kong_Export,Mammalia,12
Hungary_Export,Mammalia,32
Indonesia_Export,Mammalia,1985.6
Ireland_Export,Mammalia,114
India_Export,Mammalia,5
Iraq_Export,Mammalia,1
Italy_Export,Mammalia,262.1
Jersey_Export,Mammalia,6
Japan_Export,Mammalia,385.4
Kenya_Export,Mammalia,59.47
Cambodia_Export,Mammalia,2599
Kuwait_Export,Mammalia,4
Kazakhstan_Export,Mammalia,20
Lithuania_Export,Mammalia,4
Morocco_Export,Mammalia,6
Monaco_Export,Mammalia,6
Madagascar_Export,Mammalia,1052.55
Myanmar_Export,Mammalia,1790
Mongolia_Export,Mammalia,7
Malaysia_Export,Mammalia,114
Netherlands_Export,Mammalia,74.336
Norway_Export,Mammalia,201562
New Zealand_Export,Mammalia,359
Oman_Export,Mammalia,329
Peru_Export,Mammalia,83
Philippines_Export,Mammalia,37
Pakistan_Export,Mammalia,6
Poland_Export,Mammalia,987.615
Portugal_Export,Mammalia,319
Qatar_Export,Mammalia,14
Romania_Export,Mammalia,1
Serbia_Export,Mammalia,1
Sweden_Export,Mammalia,192
Singapore_Export,Mammalia,39
Slovenia_Export,Mammalia,11
Slovakia_Export,Mammalia,5
Tunisia_Export,Mammalia,6
Turkey_Export,Mammalia,5
Uganda_Export,Mammalia,31.86
United States of America_Export,Mammalia,1955
Uruguay_Export,Mammalia,138
Uzbekistan_Export,Mammalia,15
Venezuela (Bolivarian Republic of)_Export,Mammalia,87
Zambia_Export,Mammalia,110
Zimbabwe_Export,Mammalia,239
United Arab Emirates_Export,Reptilia,10
Austria_Export,Reptilia,8
Belgium_Export,Reptilia,1
Bermuda_Export,Reptilia,706
Bahamas_Export,Reptilia,2253
China_Export,Reptilia,24
Cuba_Export,Reptilia,8
Germany_Export,Reptilia,95
Denmark_Export,Reptilia,5
Dominican Republic_Export,Reptilia,10
Spain_Export,Reptilia,90
France_Export,Reptilia,3273.5
United Kingdom of Great Britain and Northern Ireland_Export,Reptilia,113
Guernsey_Export,Reptilia,2
Hong Kong_Export,Reptilia,45518.07
India_Export,Reptilia,139
Italy_Export,Reptilia,2068
Jersey_Export,Reptilia,2
Japan_Export,Reptilia,2094.3
Cambodia_Export,Reptilia,45746
Cayman Islands_Export,Reptilia,2947
Monaco_Export,Reptilia,337
Madagascar_Export,Reptilia,1232
Macao_Export,Reptilia,1
Malaysia_Export,Reptilia,18732
Netherlands_Export,Reptilia,3
New Zealand_Export,Reptilia,1
Oman_Export,Reptilia,136
Philippines_Export,Reptilia,7162
Romania_Export,Reptilia,6
Singapore_Export,Reptilia,45047.05
Slovakia_Export,Reptilia,4
El Salvador_Export,Reptilia,2539
Turkey_Export,Reptilia,160
Uganda_Export,Reptilia,3
United States of America_Export,Reptilia,44
Uruguay_Export,Reptilia,150
United Arab Emirates_Import,Unreported,28
Afghanistan_Import,Unreported,470
Austria_Import,Unreported,331898.15
Belgium_Import,Unreported,8108
China_Import,Unreported,78
Czechia_Import,Unreported,918
Germany_Import,Unreported,72280.952
Denmark_Import,Unreported,0.916
Spain_Import,Unreported,4
France_Import,Unreported,7086
United Kingdom of Great Britain and Northern Ireland_Import,Unreported,1070
Hong Kong_Import,Unreported,3909.45
Hungary_Import,Unreported,65
India_Import,Unreported,3
Italy_Import,Unreported,11
Jersey_Import,Unreported,2
