source,target,va
Uzbekistan_Export,15,Mammalia
Venezuela (Bolivarian Republic of)_Export,87,Mammalia
Zambia_Export,110,Mammalia
Zimbabwe_Export,239,Mammalia
United Arab Emirates_Export,10,Reptilia
Austria_Export,8,Reptilia
Belgium_Export,1,Reptilia
Bermuda_Export,706,Reptilia
Bahamas_Export,2253,Reptilia
China_Export,24,Reptilia
Cuba_Export,8,Reptilia
Germany_Export,95,Reptilia
Denmark_Export,5,Reptilia
Dominican Republic_Export,10,Reptilia
Spain_Export,90,Reptilia
France_Export,3273.5,Reptilia
United Kingdom of Great Britain and Northern Ireland_Export,113,Reptilia
Guernsey_Export,2,Reptilia
Hong Kong_Export,45518.07,Reptilia
India_Export,139,Reptilia
Italy_Export,2068,Reptilia
Jersey_Export,2,Reptilia
Japan_Export,2094.3,Reptilia
Cambodia_Export,45746,Reptilia
Cayman Islands_Export,2947,Reptilia
Monaco_Export,337,Reptilia
Madagascar_Export,1232,Reptilia
Macao_Export,1,Reptilia
Malaysia_Export,18732,Reptilia
Netherlands_Export,3,Reptilia
New Zealand_Export,1,Reptilia
Oman_Export,136,Reptilia
Philippines_Export,7162,Reptilia
Romania_Export,6,Reptilia
Singapore_Export,45047.05,Reptilia
Slovakia_Export,4,Reptilia
El Salvador_Export,2539,Reptilia
Turkey_Export,160,Reptilia
Uganda_Export,3,Reptilia
United States of America_Export,44,Reptilia
Uruguay_Export,150,Reptilia
China_Export,390676.729,Asterales
Germany_Export,4441,Asterales
France_Export,39.6301,Asterales
Hong Kong_Export,2807.991,Asterales
India_Export,6500,Asterales
Japan_Export,41711.9,Asterales
Malaysia_Export,849,Asterales
United States of America_Export,1320,Asterales
Czechia_Export,7,Caryophyllales
Germany_Export,1733,Caryophyllales
Italy_Export,108,Caryophyllales
Malta_Export,33800,Caryophyllales
United States of America_Export,41393,Caryophyllales
United States of America_Export,29,Cycadales
Zimbabwe_Export,1,Cycadales
Spain_Export,5,Euphorbiales
Madagascar_Export,1,Euphorbiales
United States of America_Export,137,Euphorbiales
United Arab Emirates_Export,1,Fabales
Argentina_Export,1,Fabales
Austria_Export,1,Fabales
China_Export,11,Fabales
Czechia_Export,3,Fabales
Germany_Export,45.0523,Fabales
Denmark_Export,668,Fabales
Spain_Export,3,Fabales
Finland_Export,1.76,Fabales
France_Export,38.5,Fabales
United Kingdom of Great Britain and Northern Ireland_Export,58,Fabales
Guernsey_Export,1,Fabales
Ireland_Export,1,Fabales
Italy_Export,434,Fabales
Japan_Export,35.5,Fabales
Netherlands_Export,1,Fabales
Portugal_Export,1,Fabales
Sweden_Export,28,Fabales
Singapore_Export,1,Fabales
United States of America_Export,412,Fabales
Netherlands_Export,1,Gentianales
Belgium_Export,1392,Liliales
Germany_Export,1,Liliales
Denmark_Export,383,Liliales
Spain_Export,1,Liliales
Madagascar_Export,1,Liliales
United States of America_Export,75,Liliales
Netherlands_Export,18,Nepenthales
Belgium_Export,18,Orchidales
China_Export,1895,Orchidales
Germany_Export,1812,Orchidales
Denmark_Export,15,Orchidales
Dominican Republic_Export,180,Orchidales
Indonesia_Export,5,Orchidales
Japan_Export,490,Orchidales
Madagascar_Export,4,Orchidales
Malaysia_Export,11232,Orchidales
Netherlands_Export,51447,Orchidales
Peru_Export,1890.15,Orchidales
Singapore_Export,7,Orchidales
United States of America_Export,6929,Orchidales
Belgium_Export,8,Pinales
Chile_Export,67.5,Pinales
Germany_Export,4,Pinales
Italy_Export,163,Pinales
Netherlands_Export,10,Pinales
Actinopteri,20,Belgium_Import
Actinopteri,184673,China_Import
Actinopteri,5,Czechia_Import
Actinopteri,19,Germany_Import
Actinopteri,17,Denmark_Import
Actinopteri,12,France_Import
Actinopteri,331,United Kingdom of Great Britain and Northern Ireland_Import
Actinopteri,4673,Hong Kong_Import
Actinopteri,71,Italy_Import
Actinopteri,7778,Japan_Import
Actinopteri,3056,Malaysia_Import
Actinopteri,23,Norway_Import
Actinopteri,68,New Zealand_Import
Actinopteri,15,Sweden_Import
Actinopteri,3048,Singapore_Import
Actinopteri,15,Slovakia_Import
Actinopteri,209,United States of America_Import
Amphibia,1,United States of America_Import
Aves,6447,United Arab Emirates_Import
Aves,53,Austria_Import
Aves,2,Belgium_Import
Aves,38,Bahrain_Import
Aves,4,Bahamas_Import
Aves,69.5,China_Import
Aves,20,Czechia_Import
Aves,639,Germany_Import
Aves,701,Denmark_Import
Aves,2,Dominican Republic_Import
Aves,81.1,Spain_Import
Aves,8,France_Import
Aves,667,United Kingdom of Great Britain and Northern Ireland_Import
Aves,19,Georgia_Import
Aves,2,Greece_Import
Aves,12,Hong Kong_Import
Aves,5,Ireland_Import
Aves,8,India_Import
Aves,2,Italy_Import
Aves,1,Jersey_Import
Aves,58,Japan_Import
Aves,5,Kuwait_Import
Aves,871,Kazakhstan_Import
Aves,1,Lithuania_Import
Aves,2,Latvia_Import
Aves,4,Monaco_Import
Aves,10,Myanmar_Import
Aves,2,Netherlands_Import
Aves,9,Norway_Import
Aves,1,New Zealand_Import
Aves,169,Oman_Import
Aves,119,Philippines_Import
Aves,4,Portugal_Import
Aves,660,Qatar_Import
Aves,31,Serbia_Import
Aves,1,Sweden_Import
Aves,17,Singapore_Import
Aves,6,Slovenia_Import
Aves,4,Slovakia_Import
Aves,457,Turkey_Import
Aves,36,Trinidad and Tobago_Import
Aves,265,United States of America_Import
Aves,34,Uzbekistan_Import
Coelacanthi,1,Japan_Import
Elasmobranchii,19,United States of America_Import
Mammalia,1,United Arab Emirates_Import
Mammalia,21,Argentina_Import
Mammalia,122,Austria_Import
Mammalia,29.95,Belgium_Import
Mammalia,2,Bulgaria_Import
Mammalia,14,Belarus_Import
Mammalia,27,Chile_Import
Mammalia,225,China_Import
Mammalia,18.194,Cuba_Import
