Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,Mammalia,Cetacea,SE,GL,,1,specimens,S,W
2016,I,Mammalia,Cetacea,US,AQ,144,,skins,S,W
2016,I,Mammalia,Cetacea,US,AQ,40,,specimens,S,W
2016,I,Mammalia,Cetacea,US,AU,158,,specimens,S,W
2016,I,Mammalia,Cetacea,US,CA,16,,specimens,S,W
2016,I,Mammalia,Cetacea,US,GB,26,,specimens,S,W
2016,I,Mammalia,Cetacea,US,NZ,47,,specimens,S,W
2016,I,Mammalia,Cetacea,US,OM,49,49,specimens,S,W
2016,I,Mammalia,Cetacea,XX,TN,,1,skin pieces,E,O
2016,I,Mammalia,Cetacea,ZA,NA,,1,skeletons,E,W
2016,I,Reptilia,Serpentes,ID,FR,,4,live,Z,F
2016,I,Reptilia,Serpentes,IR,DE,,22,live,T,C
2016,I,Reptilia,Serpentes,XX,IT,,2,live,Q,C
2016,I,Reptilia,Serpentes,ID,FR,,4,live,Z,F
2016,I,Mammalia,Artiodactyla,AR,US,1,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,CA,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,FR,FR,1,1,trophies,P,C
2016,I,Mammalia,Artiodactyla,FR,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,GB,QA,,6,specimens,S,F
2016,I,Mammalia,Artiodactyla,HU,US,3,,trophies,H,F
2016,I,Mammalia,Artiodactyla,IT,US,,2,trophies,H,F
2016,I,Mammalia,Artiodactyla,MX,US,,2,trophies,H,F
2016,I,Mammalia,Artiodactyla,OM,AE,,2,live,P,C
2016,I,Mammalia,Artiodactyla,PK,AE,,10,live,T,C
2016,I,Mammalia,Artiodactyla,VN,DE,,5,live,Z,C
2016,I,Mammalia,Artiodactyla,AE,SK,,2,bodies,H,C
2016,I,Mammalia,Artiodactyla,AT,TJ,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,BY,RU,4,,live,Z,C
2016,I,Mammalia,Artiodactyla,CA,PK,,1,trophies,H,W
2016,I,Mammalia,Artiodactyla,DE,PK,1,1,trophies,H,W
2016,I,Mammalia,Artiodactyla,DE,TJ,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,ES,PK,,1,trophies,H,W
2016,I,Mammalia,Artiodactyla,FI,RU,2,,live,Z,C
2016,I,Mammalia,Artiodactyla,ID,DE,,5,live,Z,C
2016,I,Mammalia,Artiodactyla,MX,PK,,1,trophies,H,W
2016,I,Mammalia,Artiodactyla,MX,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,NO,DK,,1,trophies,H,W
2016,I,Mammalia,Artiodactyla,NO,DK,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,PH,DE,,1,trophies,H,W
2016,I,Mammalia,Artiodactyla,PH,DE,1,,trophies,P,W
2016,I,Mammalia,Artiodactyla,RU,BY,,1,live,T,C
2016,I,Mammalia,Artiodactyla,SG,FI,4,4,live,Z,C
2016,I,Mammalia,Artiodactyla,US,CA,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,US,PK,2,2,trophies,H,W
2016,I,Mammalia,Artiodactyla,US,TJ,3,,trophies,H,W
2016,I,Mammalia,Artiodactyla,UZ,RU,1,,live,Z,C
2016,I,Mammalia,Artiodactyla,US,LA,2,,horns,P,I
2016,I,Mammalia,Artiodactyla,US,LA,1,,bone pieces,P,I
2016,I,Mammalia,Artiodactyla,US,LA,4,,horns,P,I
2016,I,Mammalia,Artiodactyla,US,LA,26,,specimens,P,I
2016,I,Mammalia,Artiodactyla,US,LA,2,,horns,P,I
2016,I,Mammalia,Artiodactyla,US,LA,1,,skulls,P,I
2016,I,Mammalia,Artiodactyla,TN,ES,1,,live,N,C
2016,I,Mammalia,Artiodactyla,TN,ES,14,43,live,N,C
2016,I,Mammalia,Artiodactyla,CN,GB,1,,bodies,Q,O
2016,I,Mammalia,Artiodactyla,PT,US,,4,specimens,S,W
2016,I,Mammalia,Artiodactyla,KP,CN,,1,bodies,E,U
2016,I,Mammalia,Artiodactyla,IT,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,MX,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,AE,US,,34,live,B,F
2016,I,Mammalia,Artiodactyla,AR,ZA,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,AT,ZA,2,,trophies,H,F
2016,I,Mammalia,Artiodactyla,BE,ZA,2,,trophies,H,F
2016,I,Mammalia,Artiodactyla,CA,US,,2,trophies,H,F
2016,I,Mammalia,Artiodactyla,CZ,ZA,2,,trophies,H,F
2016,I,Mammalia,Artiodactyla,DE,ZA,3,,trophies,H,F
2016,I,Mammalia,Artiodactyla,DK,XX,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,DK,ZA,1,,skins,H,W
2016,I,Mammalia,Artiodactyla,DK,ZA,1,,trophies,H,F
2016,I,Mammalia,Artiodactyla,DK,ZA,2,,trophies,H,W
2016,I,Mammalia,Artiodactyla,ES,ZA,5,,trophies,H,F
2016,I,Mammalia,Artiodactyla,FI,ZA,2,,trophies,H,F
2016,I,Mammalia,Artiodactyla,FR,FR,1,1,trophies,P,W
2016,I,Mammalia,Artiodactyla,FR,FR,1,1,trophies,P,C
2016,I,Mammalia,Artiodactyla,FR,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,FR,US,1,,trophies,P,F
